
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 06월 25일~07월 25일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
임실,244,06-25,      21.5,      26.9,      17.3,       8.6,      76.4,       4.6,,,     978.5,    1006.5,       1.4
정읍,245,06-25,      22.9,      27.9,      19.0,       7.6,      75.4,       4.4,,,    1001.1,    1006.4,       1.3
남원,247,06-25,      22.7,      27.7,      18.5,       9.8,      75.5,       4.8,,,     995.0,    1006.5,       1.5
장수,248,06-25,      20.8,      25.7,      16.6,      10.8,      79.3,       4.3,,,     960.6,    1006.4,       1.7
영광군,252,06-25,      22.9,      27.6,      19.2,       4.9,      79.0,       5.4,,,    1002.2,    1006.4,       2.2
김해시,253,06-25,      23.6,      27.9,      20.3,       8.4,      74.9,       5.9,,,    1001.0,    1007.7,       2.0
순창군,254,06-25,      23.1,      28.5,      18.6,       6.8,      73.2,       5.7,,,     992.2,    1006.6,       1.8
양산시,257,06-25,      23.4,      27.7,      19.7,       9.0,      73.0,       4.9,,,    1006.5,    1008.2,       2.6
강진군,259,06-25,      22.8,      26.7,      19.8,       8.8,      79.9,       4.4,,,    1005.7,    1007.1,       2.7
장흥,260,06-25,      22.2,      26.2,      18.9,      11.4,      79.7,       4.0,,,    1001.7,    1006.7,       1.9
해남,261,06-25,      22.2,      26.4,      19.0,      10.0,      80.1,       4.5,,,    1004.7,    1006.8,       2.5
고흥,262,06-25,      21.9,      26.0,      18.5,      11.4,      78.2,       4.3,,,    1001.0,    1007.0,       1.5
의령군,263,06-25,      22.9,      28.1,      18.8,       8.9,      78.5,       4.5,,,    1005.0,    1006.6,       1.3
함양군,264,06-25,      22.7,      28.2,      18.1,      10.0,      80.5,       4.4,,,     989.1,    1006.3,       1.0
진도군,268,06-25,      22.3,      26.2,      19.0,       6.4,,,,,,,       2.0
봉화,271,06-25,      20.3,      26.2,      15.4,       9.6,      74.6,       4.9,,,     970.2,    1006.2,       1.2
영주,272,06-25,      21.9,      27.1,      17.5,      11.4,      72.3,       5.4,,,     982.6,    1006.2,       1.7
문경,273,06-25,      21.8,      26.9,      17.5,      11.0,      74.6,       5.2,,,     987.0,    1006.5,       1.3
청송군,276,06-25,      21.4,      27.7,      16.3,       6.6,      76.8,       4.4,,,     983.2,    1006.7,       1.2
영덕,277,06-25,      21.5,      26.1,      17.7,       8.1,      76.7,       5.6,,,    1002.9,    1007.9,       2.4
의성,278,06-25,      22.4,      28.2,      17.2,       7.7,      71.4,       4.9,,,     997.5,    1006.6,       1.0
구미,279,06-25,      23.1,      28.1,      18.8,       8.4,      70.9,       4.9,,,    1001.4,    1006.7,       1.2
영천,281,06-25,      22.4,      27.4,      17.9,       9.0,      72.0,       4.9,,,     996.5,    1007.1,       1.7
경주시,283,06-25,      22.6,      28.0,      18.3,       7.4,      75.9,       5.0,,,    1002.7,    1007.0,       2.3
경주시,283,06-25,      22.6,      28.0,      18.3,       7.4,      75.9,       5.0,,,    1002.7,    1007.0,       2.3
거창,284,06-25,      21.8,      27.2,      17.4,      10.3,      76.0,       4.8,,,     981.3,    1006.6,       1.3
합천,285,06-25,      22.7,      28.0,      18.3,      10.6,      71.7,       4.4,,,    1003.2,    1006.9,       1.4
밀양,288,06-25,      22.8,      27.9,      18.7,      11.7,      75.0,       4.4,,,    1005.8,    1007.1,       1.5
산청,289,06-25,      22.1,      27.0,      18.2,      12.0,      75.2,       4.8,,,     991.3,    1007.2,       1.4
거제,294,06-25,      21.9,      25.7,      18.8,      13.8,      77.7,       4.7,,,    1002.3,    1006.8,       1.8
남해,295,06-25,      22.2,      26.4,      19.0,      16.3,      76.9,       4.6,,,    1002.3,    1007.6,       1.4
강남,400,06-25,      24.0,      28.4,      20.4,       6.7,,,,,,,       1.8
서초,401,06-25,      24.2,      29.3,      20.3,       7.3,,,,,,,       1.4
강동,402,06-25,      23.7,      28.6,      19.7,       7.4,,,,,,,       1.6
송파,403,06-25,      24.1,      28.7,      20.4,       7.3,,,,,,,       1.8
강서,404,06-25,      23.2,      27.7,      19.8,       6.6,,,,,,,       2.0
양천,405,06-25,      24.2,      28.7,      20.7,       5.9,,,,,,,       1.6
도봉,406,06-25,      23.1,      28.2,      18.8,       8.0,,,,,,,       1.1
노원,407,06-25,      22.9,      28.2,      18.4,       7.4,,,,,,,       1.5
동대문,408,06-25,      24.0,      28.7,      20.3,       7.4,,,,,,,       1.9
중랑,409,06-25,      24.0,      28.4,      20.5,       7.8,,,,,,,       2.2
기상청,410,06-25,      23.5,      28.0,      19.9,       7.0,,,,,,,       1.6
마포,411,06-25,      23.8,      28.4,      20.3,       7.0,,,,,,,       2.4
서대문,412,06-25,      22.7,      28.0,      18.8,       7.0,,,,,,,       1.4
광진,413,06-25,      24.0,      28.6,      20.3,       6.3,,,,,,,       1.9
성북,414,06-25,      23.0,      27.5,      19.3,       8.0,,,,,,,       1.8
용산,415,06-25,      24.1,      28.7,      20.6,       6.7,,,,,,,       2.1
은평,416,06-25,      22.8,      27.6,      18.8,       6.2,,,,,,,       1.7
금천,417,06-25,      23.3,      27.4,      20.1,       6.1,,,,,,,       2.2
중구,419,06-25,      22.3,      27.4,      18.7,       6.5,,,,,,,       1.8
성동,421,06-25,      23.8,      28.0,      20.5,       5.9,,,,,,,       2.5
구로,423,06-25,      23.3,      28.3,      19.4,       5.6,,,,,,,       2.2
강북*,424,06-25,      24.2,      29.0,      20.3,       7.5,,,,,,,       1.8
남현,425,06-25,      22.9,      27.9,      18.6,       7.1,,,,,,,       1.3
부천,433,06-25,      23.9,      28.3,      20.3,       4.9,,,,,,,       1.4
안양,434,06-25,      23.7,      28.0,      20.2,       4.7,,,,,,,       2.2
광명,437,06-25,      24.1,      28.6,      20.4,       4.9,,,,,,,       2.1
군포,438,06-25,      23.9,      28.3,      20.2,       5.1,,,,,,,       1.6
김포,441,06-25,      23.0,      27.7,      19.2,       4.5,,,,,,,       1.8
하남,444,06-25,      24.0,      29.0,      19.3,       4.0,,,,,,,       0.9
의왕,445,06-25,      22.8,      28.0,      18.5,       5.0,,,,,,,       1.0
포천,504,06-25,      23.0,      28.6,      18.3,       8.9,,,,,,,       1.5
가평조종,505,06-25,      21.7,      27.6,      16.8,       8.8,,,,,,,       1.1
영등포,510,06-25,      24.0,      28.6,      20.9,       6.6,,,,,,,       1.8
인천연수,512,06-25,      22.9,      27.4,      19.4,       5.6,,,,,,,       1.7
안성,516,06-25,      23.3,      28.4,      19.2,       9.1,,,,,,,       1.3
간성,517,06-25,      21.0,      25.0,      17.7,       8.5,,,,,,,       1.5
평창,526,06-25,      20.9,      26.6,      16.6,       9.1,,,,,,,       1.1
의정부,532,06-25,      22.7,      28.0,      18.3,       8.2,,,,,,,       1.1
횡성,536,06-25,      22.4,      28.4,      17.8,      10.3,,,,,,,       1.2
고양,540,06-25,      22.6,      28.5,      18.1,       6.5,,,,,,,       1.2
남양주,541,06-25,      22.6,      28.2,      17.9,       8.9,,,,,,,       1.1
안산,545,06-25,      22.2,      27.6,      17.8,       6.6,,,,,,,       1.7
경기광주,546,06-25,      22.3,      27.7,      18.1,       7.7,,,,,,,       1.6
여주,548,06-25,      22.7,      28.0,      18.3,       9.3,,,,,,,       1.2
용인,549,06-25,      22.3,      27.5,      18.0,       8.6,,,,,,,       1.4
오산,550,06-25,      22.9,      28.3,      18.8,       7.1,,,,,,,       1.3
평택,551,06-25,      23.4,      28.4,      19.4,       7.6,,,,,,,       1.8
화천,555,06-25,      22.1,      28.5,      17.4,       8.5,,,,,,,       1.0
양구,556,06-25,      21.4,      28.0,      16.9,       7.6,,,,,,,       1.0
시흥,565,06-25,      22.9,      27.4,      19.4,       7.4,,,,,,,       1.7
구리,569,06-25,      23.4,      28.4,      19.3,       7.4,,,,,,,       1.5
금곡,570,06-25,      22.1,      26.9,      18.4,       5.6,,,,,,,       1.4
화성,571,06-25,      22.4,      27.2,      18.8,       6.6,,,,,,,       1.4
성남,572,06-25,      23.7,      28.6,      19.6,       6.4,,,,,,,       1.3
과천,590,06-25,      23.0,      28.1,      18.8,       7.3,,,,,,,       1.9
진부령,595,06-25,      18.6,      23.0,      15.1,       9.9,,,,,,,       2.5
양주,598,06-25,      22.8,      28.2,      18.0,       7.2,,,,,,,       1.5
단양,601,06-25,      22.6,      28.0,      18.2,       8.5,,,,,,,       0.9
진천,602,06-25,      22.3,      27.6,      17.7,      11.6,,,,,,,       1.2
괴산,603,06-25,      22.3,      27.4,      17.5,      10.1,,,,,,,       1.2
옥천,604,06-25,      22.8,      27.9,      18.4,      11.3,,,,,,,       1.1
세종연서,611,06-25,      22.4,      27.8,      18.2,       9.8,,,,,,,       1.2
공주,612,06-25,      23.0,      28.2,      18.8,      10.6,,,,,,,       1.4
서천,614,06-25,      22.5,      26.6,      19.5,       9.7,,,,,,,       2.0
논산,615,06-25,      23.2,      27.8,      19.3,      10.2,,,,,,,       1.7
당진,616,06-25,      22.0,      27.0,      18.4,       8.3,,,,,,,       1.9
청양,618,06-25,      22.1,      27.3,      17.6,      10.5,,,,,,,       1.2
음성,619,06-25,      22.2,      27.7,      17.3,      10.5,,,,,,,       1.4
증평,623,06-25,      22.8,      28.1,      18.3,       9.6,,,,,,,       1.3
태안,627,06-25,      22.2,      26.5,      18.9,       8.7,,,,,,,       1.8
예산,628,06-25,      23.0,      28.2,      19.0,       9.5,,,,,,,       1.9
아산,634,06-25,      22.8,      28.0,      19.1,       7.3,,,,,,,       2.0
계룡,636,06-25,      22.1,      27.4,      17.7,      12.8,,,,,,,       1.1
오월드,642,06-25,      23.6,      28.5,      19.8,      13.1,,,,,,,       1.3
세천,643,06-25,      22.6,      27.9,      18.3,      12.2,,,,,,,       1.1
장동,648,06-25,      22.7,      27.7,      18.6,      12.3,,,,,,,       1.2
부평,649,06-25,      23.3,      29.1,      18.7,       5.5,,,,,,,       0.7
연천청산,652,06-25,      22.9,      28.5,      18.3,       6.4,,,,,,,       1.2
양양,670,06-25,      21.5,      25.1,      18.0,       8.1,,,,,,,       1.9
사북,674,06-25,      18.3,      23.3,      14.5,      13.3,,,,,,,       2.2
무안,699,06-25,      22.5,      26.7,      19.1,       7.0,,,,,,,       1.9
무주,701,06-25,      22.3,      27.9,      17.7,       5.0,,,,,,,       1.3
익산,702,06-25,      23.2,      27.9,      19.5,      11.2,,,,,,,       1.7
진안,703,06-25,      21.2,      26.2,      17.0,      10.1,,,,,,,       1.6
담양,706,06-25,      22.8,      27.2,      19.3,      11.8,,,,,,,       1.7
광산,708,06-25,      23.2,      27.9,      19.4,      11.7,,,,,,,       1.8
구례,709,06-25,      23.3,      28.3,      19.2,      10.2,,,,,,,       1.4
나주,710,06-25,      23.2,      27.8,      19.6,      11.1,,,,,,,       1.5
순천시,712,06-25,      23.0,      26.6,      20.0,      13.6,,,,,,,       1.5
광양읍,713,06-25,      22.9,      27.3,      19.4,      13.1,,,,,,,       1.0
조선대,722,06-25,      23.2,      27.6,      19.6,       9.2,,,,,,,       1.8
거문도,723,06-25,      21.6,      24.2,      19.8,      10.0,,,,,,,       2.7
추자도,724,06-25,      21.0,      23.3,      19.2,       8.8,,,,,,,       3.5
장성,730,06-25,      22.7,      27.6,      18.9,       9.2,,,,,,,       1.5
영암,731,06-25,      23.0,      27.0,      19.8,      10.3,,,,,,,       2.4
보성,732,06-25,      21.4,      25.6,      18.2,      11.8,,,,,,,       1.9
완주,734,06-25,      23.2,      28.5,      19.1,      11.4,,,,,,,       1.7
김제,737,06-25,      23.3,      27.9,      20.0,       9.5,,,,,,,       2.2
화순,741,06-25,      22.9,      27.8,      19.2,      10.9,,,,,,,       1.0
함평,754,06-25,      23.0,      27.2,      19.7,      11.5,,,,,,,       1.8
곡성,768,06-25,      23.1,      28.0,      19.0,      10.2,,,,,,,       1.3
성판악,782,06-25,      18.8,      21.9,      15.8,      21.7,,,,,,,       2.4
풍암,788,06-25,      23.9,      29.0,      20.0,       5.5,,,,,,,       1.3
압해도,789,06-25,      22.4,      26.1,      19.6,       7.3,,,,,,,       2.7
영양,801,06-25,      21.0,      26.3,      16.5,      10.1,,,,,,,       1.3
성주,810,06-25,      23.1,      28.1,      18.7,      10.1,,,,,,,       1.2
고령,812,06-25,      22.7,      27.7,      18.4,      11.3,,,,,,,       1.0
청도,813,06-25,      22.8,      28.1,      18.5,      11.4,,,,,,,       1.5
예천,815,06-25,      22.2,      27.8,      17.8,      11.1,,,,,,,       1.1
김천,822,06-25,      23.0,      28.7,      18.4,       9.0,,,,,,,       0.9
군위,823,06-25,      22.6,      28.4,      17.8,       9.1,,,,,,,       1.4
칠곡,825,06-25,      23.5,      28.5,      19.4,       9.5,,,,,,,       1.7
경산,827,06-25,      23.5,      28.8,      19.5,       9.1,,,,,,,       2.0
달성,828,06-25,      23.4,      28.7,      19.5,      10.7,,,,,,,       1.7
대구서구,846,06-25,      23.9,      28.7,      19.8,       9.5,,,,,,,       2.0
신암,860,06-25,      23.7,      28.4,      19.8,       9.5,      69.9,       4.2,       7.4,,    1000.3,    1007.1,       2.3
완산,864,06-25,      23.5,      28.2,      19.6,       9.7,      76.0,       3.9,       7.4,       3.7,     999.9,    1006.1,       1.8
삼척,876,06-25,      21.8,      25.6,      18.7,       6.6,,,,,,,       1.8
울기,901,06-25,      20.3,      23.3,      18.5,       9.4,,,,,,,       2.7
삼천포,907,06-25,      22.1,      25.3,      19.9,      13.6,,,,,,,       1.8
영도,910,06-25,      20.6,      23.4,      18.7,       9.8,,,,,,,       4.0
고성,918,06-25,      22.5,      26.4,      19.5,      12.1,,,,,,,       2.2
창녕,919,06-25,      23.6,      28.6,      19.3,       9.2,,,,,,,       2.0
함안,920,06-25,      23.0,      28.2,      18.9,       9.8,,,,,,,       1.3
가덕도,921,06-25,      21.3,      24.6,      19.3,       6.9,,,,,,,       3.9
기장,923,06-25,      21.8,      25.5,      18.8,      12.1,,,,,,,       1.8
간절곶,924,06-25,      20.3,      22.8,      18.5,      11.0,,,,,,,       3.7
하동,932,06-25,      23.2,      27.7,      19.7,      13.3,,,,,,,       1.3
해운대,937,06-25,      21.7,      25.2,      19.1,      12.0,,,,,,,       2.5
부산진,938,06-25,      22.7,      26.2,      19.9,      12.0,,,,,,,       2.1
동래,940,06-25,      22.7,      26.5,      19.7,      11.1,,,,,,,       1.8
북구,941,06-25,      22.6,      26.2,      19.6,       9.9,,,,,,,       2.3
부산남구,942,06-25,      22.5,      25.6,      20.2,      11.7,,,,,,,       2.1
정자,949,06-25,      22.0,      25.7,      18.7,       8.1,,,,,,,       2.6
속초,90,06-26,      21.1,      24.5,      18.1,       6.6,      80.7,       5.2,,,    1004.2,    1006.3,       2.0
철원,95,06-26,      22.0,      27.0,      17.6,       6.5,      76.5,       5.5,,,     988.3,    1006.0,       1.8
동두천,98,06-26,      22.6,      28.3,      18.1,       6.3,      73.2,       5.5,,,     993.2,    1005.9,       1.5
파주,99,06-26,      22.4,      27.9,      18.0,       6.0,      78.0,       6.1,,,    1002.7,    1006.1,       1.5
대관령,100,06-26,      17.2,      21.7,      13.5,       8.4,      84.1,       5.3,,,     916.6,    1006.7,       3.0
춘천,101,06-26,      23.1,      28.3,      18.7,       6.6,      74.5,       5.6,,,     997.5,    1006.2,       1.2
백령도,102,06-26,      20.3,      24.0,      17.5,       4.2,      82.8,       5.9,       6.6,,     990.0,    1005.4,       4.3
강릉,105,06-26,      22.5,      26.3,      19.0,       7.2,      72.2,       5.1,,,    1003.5,    1006.6,       1.9
동해,106,06-26,      21.0,      24.5,      18.1,       7.0,      80.8,       5.1,,,    1001.8,    1006.1,       1.8
서울,108,06-26,      23.5,      27.8,      19.9,       6.0,      70.7,       5.4,       6.6,       4.5,     996.3,    1006.2,       2.3
인천,112,06-26,      22.3,      26.2,      19.4,       5.1,      79.8,       6.4,       6.6,       4.3,     998.1,    1006.0,       2.4
원주,114,06-26,      23.1,      28.2,      18.8,       8.7,      72.4,       4.8,,,     989.2,    1006.2,       1.1
울릉도,115,06-26,      20.1,      23.2,      17.9,       8.7,      83.2,       4.7,       7.2,       3.6,     981.9,    1007.3,       3.2
수원,119,06-26,      23.1,      27.8,      19.4,       6.1,      75.9,       5.5,       6.7,       4.4,    1002.4,    1006.5,       1.8
영월,121,06-26,      21.9,      27.8,      17.4,       8.7,      75.4,       5.0,,,     978.8,    1006.0,       1.3
충주,127,06-26,      22.9,      28.0,      18.5,       7.5,      70.9,       5.3,,,     995.2,    1006.4,       1.5
서산,129,06-26,      22.1,      26.7,      18.6,       8.2,      80.5,       5.4,,,    1003.5,    1006.5,       2.4
울진,130,06-26,      20.8,      24.4,      17.7,       7.0,      82.5,       5.6,,,    1000.9,    1006.7,       2.5
청주,131,06-26,      23.6,      28.2,      19.8,       8.0,      70.3,       5.2,       6.9,       4.4,     999.7,    1006.3,       1.7
대전,133,06-26,      23.3,      27.8,      19.5,      10.5,      76.3,       5.3,       7.0,       3.9,     998.5,    1006.4,       1.9
추풍령,135,06-26,      21.8,      26.7,      17.8,       8.3,      75.8,       4.6,,,     978.8,    1006.5,       1.9
안동,136,06-26,      22.5,      27.7,      18.2,       8.1,      74.7,       5.0,       7.1,       4.2,     990.7,    1006.8,       1.5
상주,137,06-26,      23.0,      28.2,      18.8,       7.6,      73.9,       5.1,,,     995.3,    1006.4,       1.2
포항,138,06-26,      23.0,      26.6,      20.0,       9.1,      77.2,       5.2,       7.1,       4.1,    1006.8,    1007.2,       2.3
군산,140,06-26,      22.5,      26.4,      19.5,       8.0,      83.8,       5.0,,,    1003.4,    1006.4,       2.9
울산,152,06-26,      22.6,      26.6,      19.2,      11.0,      78.3,       4.5,       7.2,,    1002.3,    1007.0,       1.9
창원,155,06-26,      22.5,      26.2,      19.7,      13.4,      79.5,       4.1,       7.2,,    1004.3,    1006.9,       1.9
광주,156,06-26,      23.3,      27.7,      20.0,      10.4,      78.0,       4.0,       7.5,,     998.1,    1006.4,       2.2
부산,159,06-26,      21.8,      24.9,      19.5,      12.2,      82.1,       4.6,       7.4,       3.3,     999.1,    1007.1,       3.4
통영,162,06-26,      21.7,      24.9,      19.3,      12.4,      84.3,       4.3,,,    1003.7,    1007.4,       2.4
목포,165,06-26,      22.4,      25.9,      19.9,      10.1,      84.5,       4.3,       7.4,       3.4,    1001.8,    1006.7,       3.1
여수,168,06-26,      21.9,      24.6,      19.9,      13.6,      83.0,       4.3,       7.4,       3.8,     999.3,    1007.0,       3.6
흑산도,169,06-26,      20.3,      23.5,      17.9,      11.8,      91.5,       3.8,       7.6,,     997.0,    1006.1,       4.1
완도,170,06-26,      22.1,      25.4,      19.4,      14.7,      84.2,       3.8,,,    1003.2,    1006.8,       3.0
고창,172,06-26,      23.1,      27.7,      19.5,       6.5,      85.1,       4.8,,,    1000.6,    1006.6,       2.6
제주,184,06-26,      23.1,      26.0,      20.6,       8.8,      81.1,       4.1,       7.7,       3.7,    1004.2,    1006.7,       2.9
고산,185,06-26,      21.8,      24.4,      19.9,       8.1,      89.8,       3.4,,,     998.2,    1006.5,       4.7
성산,188,06-26,      22.1,      24.8,      19.6,      10.9,      86.6,       3.4,,,    1005.0,    1007.2,       2.7
서귀포,189,06-26,      22.7,      25.2,      20.7,      13.0,      86.0,       3.0,       8.3,       2.6,    1000.9,    1006.7,       2.5
진주,192,06-26,      22.6,      27.1,      19.0,      12.0,      78.5,       4.3,,,    1003.9,    1006.9,       1.5
강화,201,06-26,      21.6,      26.0,      18.0,       4.9,      78.4,       6.1,,,    1001.3,    1006.7,       2.0
양평,202,06-26,      23.1,      28.4,      18.6,       7.0,      73.8,       6.0,,,    1001.5,    1007.0,       1.3
이천,203,06-26,      22.7,      27.9,      18.3,       6.6,      72.2,       5.9,,,     997.6,    1006.3,       1.3
인제,211,06-26,      21.4,      27.2,      16.9,       6.8,      73.8,       5.5,,,     983.9,    1006.6,       1.8
홍천,212,06-26,      22.5,      28.6,      17.7,       6.8,      71.1,       5.8,,,     990.6,    1006.7,       1.2
태백,216,06-26,      19.1,      24.2,      14.9,       9.2,      75.9,       5.1,,,     927.0,    1006.1,       1.5
정선군,217,06-26,      21.0,      27.2,      16.9,       9.7,      75.6,       4.3,,,     972.1,    1006.8,       1.4
제천,221,06-26,      21.6,      27.1,      17.1,       8.0,      72.9,       5.7,,,     977.1,    1006.7,       1.4
보은,226,06-26,      21.9,      27.0,      17.5,       9.8,      74.0,       5.4,,,     986.5,    1006.1,       1.2
천안,232,06-26,      22.6,      27.7,      18.3,       7.0,      74.3,       5.8,,,    1002.6,    1006.4,       1.6
보령,235,06-26,      22.1,      26.2,      18.8,       7.6,      80.6,       5.7,,,    1004.4,    1006.6,       1.9
부여,236,06-26,      22.9,      28.0,      18.8,       9.1,      76.8,       5.4,,,    1005.1,    1006.7,       1.3
